fullname,gender,inhouse,job,profile,photo,twitter
磯野真穂,2,,人類学者（文化人類学・医療人類学）,人類学者。専門は文化人類学・医療人類学。博士（文学）。国際医療福祉大学大学院准教授を経て2020年より独立。身体と社会の繋がりを考えるメディア「からだのシューレ」にてワークショップ、読書会など、新しい学びの可能性を探るメディアFILTRにて人類学のオンライン講座を開講。著書に『なぜふつうに食べられないのか――拒食と過食の文化人類学』（春秋社）、『医療者が語る答えなき世界――「いのちの守り人」の人類学』（ちくま新書）、『ダイエット幻想――やせること、愛されること』（ちくまプリマ―新書）、宮野真生子との共著に『急に具合が悪くなる』（晶文社）などがある。,https://www.asahicom.jp/comment/assets/img/commentator/outside/01maho_isono.jpg,https://twitter.com/mahoisono
犬山紙子,2,,エッセイスト,仙台のファッションカルチャー誌の編集者を経て、家庭の事情で退職し上京。母を介護しながら東京で6年間のニート生活を送ることに。そこで出会った女友達の恋愛模様をイラストとエッセイで書き始め、マガジンハウスからブログ本を出版しデビュー。現在はTV、ラジオ、雑誌、Webなどで活動中。2014年に結婚、2017年に第一子となる長女を出産してから、児童虐待問題に声を上げるタレントチーム「こどものいのちはこどものもの」の立ち上げ、社会的養護を必要とするこどもたちへのクラウドファンディング「こどもギフト」メンバーとしても活動中。その反面、ゲーム・ボードゲーム・漫画など2次元コンテンツをこよなく愛するオタク。,https://www.asahicom.jp/comment/assets/img/commentator/outside/02kamiko_inuyama.jpg,https://twitter.com/inuningen
今村久美,2,,認定NPO法人カタリバ 代表理事,慶應義塾大学卒。2001年にNPOカタリバを設立し、高校生のためのキャリア学習プログラム「カタリ場」を開始。2011年の東日本大震災以降は子どもたちに学びの場と居場所を提供、2020年には、経済的事情を抱える家庭にPCとWi-Fiを無償貸与し学習支援を行う「キッカケプログラム」を開始するなど、社会の変化に応じてさまざまな教育活動に取り組む。ハタチ基金代表理事。地域・教育魅力化プラットフォーム理事。文部科学省中央教育審議会委員。経済産業省 産業構造審議会臨時委員。,https://www.asahicom.jp/comment/assets/img/commentator/outside/03kumi_imamura.jpg,https://www.facebook.com/kumi.imamura
内田良,1,,名古屋大学准教授・教育社会学,専門は教育社会学。博士（教育学）。学校の中で子どもや教師が出合うさまざまなリスクについて、調査研究ならびに啓発活動を行っている。著書に『学校ハラスメント』（朝日新書）、『ブラック部活動』（東洋館出版社）、『教育という病』（光文社新書）、『教師のブラック残業』（学陽書房、共編著）など。ヤフーオーサーアワード2015受賞。名古屋大学大学院教育発達科学研究科博士課程を単位取得満期退学。日本学術振興会・特別研究員（PD）、愛知教育大学・講師を経て、2011年度より現職。,https://www.asahicom.jp/comment/assets/img/commentator/outside/04ryo_uchida.jpg,https://twitter.com/RyoUchida_RIRIS
遠藤乾,1,,北海道大学公共政策大学院教授,1966年生まれ。北海道大学法学部卒、同大学大学院法学研究科修士課程修了。ベルギー・カトリック・ルーヴァン大学大学院修士課程、オックスフォード大学博士課程修了。現在、欧州大学院大学特任教授も務める。専門は国際政治、EU、安全保障。著書に『欧州複合危機－苦悶するEU、揺れる世界』（中公新書）のほか、『統合の終焉―EUの実像と論理』（岩波書店）があり、読売・吉野作造賞を受賞。編著に『グローバル・ガバナンスの歴史と思想』（有斐閣）、『主権はいま』（筑摩書房）など。『シリーズ日本の安全保障』（岩波書店）の編者。朝日新聞論壇委員のほか、外務省政策評価委員などを歴任。,https://www.asahicom.jp/comment/assets/img/commentator/outside/05ken_endo.jpg,https://twitter.com/ken_fiore_endo
おおたとしまさ,1,,教育ジャーナリスト,リクルートでの雑誌編集を経て独立。数々の育児誌・教育誌の編集・執筆に係わる。中高教員免許をもち、小学校教員や心理カウンセラーとしての経験もある。現在は全国紙から女性誌、Webまで幅広い分野の媒体での連載やコラムを執筆し、テレビやラジオにもレギュラー出演中。著書は『中学受験「必笑法」』『受験と進学の新常識』『ルポ塾歴社会』など60冊以上。,https://www.asahicom.jp/comment/assets/img/commentator/outside/06toshimasa_ota.jpg,https://twitter.com/toshimasaota
蟹江憲史,1,,慶應義塾大学大学院教授,慶應義塾大学SFC研究所xSDG・ラボ代表、国連大学サステイナビリティ高等研究所(UNU-IAS)非常勤教授などを兼任。日本政府SDGs推進本部円卓会議構成員、内閣府地方創生推進事務局自治体SDGs推進のための有識者会議委員、Earth Commission委員などを務め、国際的、国内的にSDGsや環境問題を中心に活躍中。2023年Global Sustainable Development Report執筆の15人の独立科学者の一人に選出されている。専門は国際関係論、サステナビリティ学、地球システム・ガバナンス。主な近著に「SDGs（持続可能な開発目標）」（中央公論新社、2020）がある。,https://www.asahicom.jp/comment/assets/img/commentator/outside/07norichika_kanie.jpg,https://kanie.sfc.keio.ac.jp/index.html
菊間千乃,2,,弁護士,早稲田大学法学部卒業。1995年、フジテレビ入社。アナウンサーとしてバラエティーや情報・スポーツなど数多くの番組を担当。2005年、大宮法科大学院大学（夜間主）入学。2007年、フジテレビ退社。2011年、弁護士登録（第二東京弁護士会所属）。2019年、早稲田大学大学院法学研究科先端法学専攻知的財産法ＬＬ．Ｍ．コース修了。現在は、弁護士として紛争解決、一般企業法務、コーポレートガバナンス等の分野を中心に幅広く手がける一方、テレビのコメンテーターとしても活躍している。弁護士法人松尾綜合法律事務所所属。,https://www.asahicom.jp/comment/assets/img/commentator/outside/08yukino_kikuma.jpg,https://www.instagram.com/kikuma_yukino/
木村草太,1,,憲法学者・東京都立大学教授,1980年、横浜生まれ。2003年、東京大学法学部卒業。同年、同大学法学政治学研究科助手を経て、2006年より首都大学東京（現東京都立大学）准教授。2016年より現職。専攻は、憲法学。朝日新聞論壇委員等を歴任。主な著書に『平等なき平等条項論』（東京大学出版会）、『憲法の急所（第2版）』（羽鳥書店）、『ほとんど憲法』（河出書房新社）、『憲法学者の思考法』（青土社）など。,https://www.asahicom.jp/comment/assets/img/commentator/outside/09souta_kimura.jpg,https://twitter.com/SotaKimura
ロバート キャンベル,1,,早稲田大学特命教授,米ニューヨーク市出身。日本文学研究者。2017年3月東京大学大学院総合文化研究科教授を辞し、同４月に国文学研究資料館館長就任。2021年4月から現職。専門は江戸・明治時代の文学、特に江戸中期から明治の漢文学であり、芸術、思想などに関する研究を行う。テレビで MCやニュース・コメンテーターなどをつとめる一方、新聞雑誌連載、書評、ラジオ番組出演など、2021年４月からはYouTubeで自身のチャンネル「キャンベルの四の五のYOUチャンネル」を開設した。,https://www.asahicom.jp/comment/assets/img/commentator/outside/27robert_campbell.jpg,https://twitter.com/rcampbelltokyo
